Date,Vis_Team,Inning,Batting,Outs,Balls,Strikes,Pitch_Sequence,Vis_Score,Home_Score,Batter,Batter_Hand,Pitcher,Pitcher_Hand,First_Runner,Second_Runner,Third_Runner,Event_Text,Is_Leadoff,Event_Type,RBI,Event_Number
PIT201904010,SLN,1,0,0,3,2,CBBSFBC,0,0,carpm002,L,archc001,R,,,,K,T,3,0,1
PIT201904010,SLN,1,0,1,3,2,BBCBFFB,0,0,goldp001,R,archc001,R,,,,W,F,14,0,2
PIT201904010,SLN,1,0,1,0,2,SSS,0,0,dejop001,R,archc001,R,goldp001,,,K,F,3,0,3
PIT201904010,SLN,1,0,2,2,1,BBSX,0,0,ozunm001,R,archc001,R,goldp001,,,9/F+,F,2,0,4
PIT201904010,SLN,1,1,0,3,1,BBBCB,0,0,fraza001,L,waina001,R,,,,W,T,14,0,5
PIT201904010,SLN,1,1,0,3,2,B*BC1SFB*B,0,0,marts002,R,waina001,R,fraza001,,,W.1-2,F,14,0,6
PIT201904010,SLN,1,1,0,3,2,BBFBSX,0,0,dickc002,L,waina001,R,marts002,fraza001,,31/G.2-3;1-2,F,2,0,7
PIT201904010,SLN,1,1,1,2,1,BBCX,0,0,bellj005,L,waina001,R,,marts002,fraza001,43/G+.3-H;2-3,F,2,1,8
PIT201904010,SLN,1,1,2,3,1,BBBCB,0,1,cervf001,R,waina001,R,,,marts002,W,F,14,0,9
PIT201904010,SLN,1,1,2,0,0,X,0,1,morac001,L,waina001,R,cervf001,,marts002,D9/L+.3-H;1-H,F,21,2,10
PIT201904010,SLN,1,1,2,2,2,CBCBX,0,3,reyep001,R,waina001,R,,morac001,,6/P,F,2,0,11
PIT201904010,SLN,2,0,0,1,2,CBCX,0,3,moliy001,R,archc001,R,,,,7/L,T,2,0,12
PIT201904010,SLN,2,0,1,1,1,BSX,0,3,fowld001,L,archc001,R,,,,31/G,F,2,0,13
PIT201904010,SLN,2,0,2,3,2,BFBCBB,0,3,wongk001,L,archc001,R,,,,W,F,14,0,14
PIT201904010,SLN,2,0,2,1,2,BCF1C,0,3,badeh001,R,archc001,R,wongk001,,,K,F,3,0,15
PIT201904010,SLN,2,1,0,1,2,BSFC,0,3,gonze004,R,waina001,R,,,,K,T,3,0,16
PIT201904010,SLN,2,1,1,1,2,FCBC,0,3,archc001,R,waina001,R,,,,K,F,3,0,17
PIT201904010,SLN,2,1,2,2,1,BBFX,0,3,fraza001,L,waina001,R,,,,63/G+,F,2,0,18
PIT201904010,SLN,3,0,0,3,2,BFBFBB,0,3,waina001,R,archc001,R,,,,W,T,14,0,19
PIT201904010,SLN,3,0,0,1,2,C*BFFX,0,3,carpm002,L,archc001,R,waina001,,,6/P,F,2,0,20
PIT201904010,SLN,3,0,1,1,2,SF*BFS,0,3,goldp001,R,archc001,R,waina001,,,K,F,3,0,21
PIT201904010,SLN,3,0,2,0,1,SH,0,3,dejop001,R,archc001,R,waina001,,,HP.1-2,F,16,0,22
PIT201904010,SLN,3,0,2,2,2,CCBBFS,0,3,ozunm001,R,archc001,R,dejop001,waina001,,K,F,3,0,23
PIT201904010,SLN,3,1,0,1,0,BX,0,3,marts002,R,waina001,R,,,,S7/L,T,20,0,24
PIT201904010,SLN,3,1,0,1,1,1S11BX,0,3,dickc002,L,waina001,R,marts002,,,DGR/78/F.1-3,F,21,0,25
PIT201904010,SLN,3,1,0,3,1,B*BBCX,0,3,bellj005,L,waina001,R,,dickc002,marts002,7/L/SF.3-H,F,2,1,26
PIT201904010,SLN,3,1,1,3,2,TBFBBC,0,4,cervf001,R,waina001,R,,dickc002,,K,F,3,0,27
PIT201904010,SLN,3,1,2,3,0,VVVV,0,4,morac001,L,waina001,R,,dickc002,,IW,F,15,0,28
PIT201904010,SLN,3,1,2,1,1,CBX,0,4,reyep001,R,waina001,R,morac001,dickc002,,9/F,F,2,0,29
PIT201904010,SLN,4,0,0,1,1,CBX,0,4,moliy001,R,archc001,R,,,,43/G,T,2,0,30
PIT201904010,SLN,4,0,1,3,1,BBBCX,0,4,fowld001,L,archc001,R,,,,S7/L,F,20,0,31
PIT201904010,SLN,4,0,1,0,0,X,0,4,wongk001,L,archc001,R,fowld001,,,8/F,F,2,0,32
PIT201904010,SLN,4,0,2,1,2,SBSB,0,4,badeh001,R,archc001,R,fowld001,,,CS2(24),F,6,0,33
PIT201904010,SLN,4,1,0,0,0,X,0,4,gonze004,R,waina001,R,,,,S8/G,T,20,0,34
PIT201904010,SLN,4,1,0,1,2,BLOX,0,4,archc001,R,waina001,R,gonze004,,,24/BG/SH/DP.1X3(456),F,2,0,35
PIT201904010,SLN,4,1,2,2,0,BBX,0,4,fraza001,L,waina001,R,,,,3/G,F,2,0,36
PIT201904010,SLN,5,0,0,2,1,CBBX,0,4,badeh001,R,archc001,R,,,,S7/G,T,20,0,37
PIT201904010,SLN,5,0,0,1,2,.BSSS,0,4,robid003,L,archc001,R,badeh001,,,K,F,3,0,38
PIT201904010,SLN,5,0,1,3,2,BSCFFB*B1C,0,4,carpm002,L,archc001,R,badeh001,,,K,F,3,0,39
PIT201904010,SLN,5,0,2,2,2,CBFBFFFS,0,4,goldp001,R,archc001,R,badeh001,,,K,F,3,0,40
PIT201904010,SLN,5,1,0,0,0,.X,0,4,marts002,R,brebj001,R,,,,9/F,T,2,0,41
PIT201904010,SLN,5,1,1,0,2,CFX,0,4,dickc002,L,brebj001,R,,,,9/L,F,2,0,42
PIT201904010,SLN,5,1,2,3,2,BBFSBFX,0,4,bellj005,L,brebj001,R,,,,23/G-,F,2,0,43
PIT201904010,SLN,6,0,0,3,2,.BFBSBS,0,4,dejop001,R,crick001,R,,,,K,T,3,0,44
PIT201904010,SLN,6,0,1,1,2,CBCS,0,4,ozunm001,R,crick001,R,,,,K,F,3,0,45
PIT201904010,SLN,6,0,2,1,0,BX,0,4,moliy001,R,crick001,R,,,,9/F,F,2,0,46
PIT201904010,SLN,6,1,0,3,2,SSBBBS,0,4,cervf001,R,brebj001,R,,,,K,T,3,0,47
PIT201904010,SLN,6,1,1,3,1,BBFBB,0,4,morac001,L,brebj001,R,,,,W,F,14,0,48
