,Date,Vis_Team,Inning,Batting,Outs,Balls,Strikes,Pitch_Sequence,Vis_Score,Home_Score,Batter,Batter_Hand,Pitcher,Pitcher_Hand,First_Runner,Second_Runner,Third_Runner,Event_Text,Is_Leadoff,Event_Type,RBI,Event_Number
4,PIT201904010,SLN,1,1,0,3,1,BBBCB,0,0,fraza001,L,waina001,R,,,,W,T,14,0,5
5,PIT201904010,SLN,1,1,0,3,2,B*BC1SFB*B,0,0,marts002,R,waina001,R,fraza001,,,W.1-2,F,14,0,6
6,PIT201904010,SLN,1,1,0,3,2,BBFBSX,0,0,dickc002,L,waina001,R,marts002,fraza001,,31/G.2-3;1-2,F,2,0,7
7,PIT201904010,SLN,1,1,1,2,1,BBCX,0,0,bellj005,L,waina001,R,,marts002,fraza001,43/G+.3-H;2-3,F,2,1,8
8,PIT201904010,SLN,1,1,2,3,1,BBBCB,0,1,cervf001,R,waina001,R,,,marts002,W,F,14,0,9
9,PIT201904010,SLN,1,1,2,0,0,X,0,1,morac001,L,waina001,R,cervf001,,marts002,D9/L+.3-H;1-H,F,21,2,10
10,PIT201904010,SLN,1,1,2,2,2,CBCBX,0,3,reyep001,R,waina001,R,,morac001,,6/P,F,2,0,11
15,PIT201904010,SLN,2,1,0,1,2,BSFC,0,3,gonze004,R,waina001,R,,,,K,T,3,0,16
16,PIT201904010,SLN,2,1,1,1,2,FCBC,0,3,archc001,R,waina001,R,,,,K,F,3,0,17
17,PIT201904010,SLN,2,1,2,2,1,BBFX,0,3,fraza001,L,waina001,R,,,,63/G+,F,2,0,18
23,PIT201904010,SLN,3,1,0,1,0,BX,0,3,marts002,R,waina001,R,,,,S7/L,T,20,0,24
24,PIT201904010,SLN,3,1,0,1,1,1S11BX,0,3,dickc002,L,waina001,R,marts002,,,DGR/78/F.1-3,F,21,0,25
25,PIT201904010,SLN,3,1,0,3,1,B*BBCX,0,3,bellj005,L,waina001,R,,dickc002,marts002,7/L/SF.3-H,F,2,1,26
26,PIT201904010,SLN,3,1,1,3,2,TBFBBC,0,4,cervf001,R,waina001,R,,dickc002,,K,F,3,0,27
27,PIT201904010,SLN,3,1,2,3,0,VVVV,0,4,morac001,L,waina001,R,,dickc002,,IW,F,15,0,28
28,PIT201904010,SLN,3,1,2,1,1,CBX,0,4,reyep001,R,waina001,R,morac001,dickc002,,9/F,F,2,0,29
33,PIT201904010,SLN,4,1,0,0,0,X,0,4,gonze004,R,waina001,R,,,,S8/G,T,20,0,34
34,PIT201904010,SLN,4,1,0,1,2,BLOX,0,4,archc001,R,waina001,R,gonze004,,,24/BG/SH/DP.1X3(456),F,2,0,35
35,PIT201904010,SLN,4,1,2,2,0,BBX,0,4,fraza001,L,waina001,R,,,,3/G,F,2,0,36
40,PIT201904010,SLN,5,1,0,0,0,.X,0,4,marts002,R,brebj001,R,,,,9/F,T,2,0,41
41,PIT201904010,SLN,5,1,1,0,2,CFX,0,4,dickc002,L,brebj001,R,,,,9/L,F,2,0,42
42,PIT201904010,SLN,5,1,2,3,2,BBFSBFX,0,4,bellj005,L,brebj001,R,,,,23/G-,F,2,0,43
46,PIT201904010,SLN,6,1,0,3,2,SSBBBS,0,4,cervf001,R,brebj001,R,,,,K,T,3,0,47
47,PIT201904010,SLN,6,1,1,3,1,BBFBB,0,4,morac001,L,brebj001,R,,,,W,F,14,0,48
48,PIT201904010,SLN,6,1,1,1,2,SCBS,0,4,reyep001,R,brebj001,R,morac001,,,K,F,3,0,49
49,PIT201904010,SLN,6,1,2,0,0,X,0,4,gonze004,R,brebj001,R,morac001,,,9/L,F,2,0,50
59,PIT201904010,SLN,7,1,0,0,2,..CFFFFX,3,4,shucj001,L,leond003,R,,,,E8/L.B-2,T,18,0,60
60,PIT201904010,SLN,7,1,0,1,2,2BCFS,3,4,fraza001,L,leond003,R,,shucj001,,K,F,3,0,61
61,PIT201904010,SLN,7,1,1,0,2,FFX,3,4,marts002,R,leond003,R,,shucj001,,63/G.2-3,F,2,0,62
62,PIT201904010,SLN,7,1,2,3,2,..CBB*BFB,3,4,dickc002,L,milla002,L,,,shucj001,W,F,14,0,63
63,PIT201904010,SLN,7,1,2,2,0,BBH,3,4,bellj005,R,milla002,L,dickc002,,shucj001,HP.1-2,F,16,0,64
64,PIT201904010,SLN,7,1,2,3,2,.BBBCSX,3,4,cervf001,R,mayem001,R,bellj005,dickc002,shucj001,63/G,F,2,0,65
